-97037.505750,-91410.990526,-75322.696605,-88181.968115,-71384.453342,-72950.796539,-83718.280043,-86856.464965
-96977.603075,-91333.988766,-75608.038975,-88221.061316,-71676.523587,-73560.865052,-83823.646167,-86879.397855
-96991.282343,-91286.446605,-75488.546549,-88186.907850,-71699.858809,-73542.871898,-83772.080692,-86853.670997
-97055.208332,-91357.815726,-75174.683353,-88143.277245,-71406.425107,-72920.867553,-83660.321970,-86822.847941
-97046.513503,-91418.724229,-75271.645221,-88173.854431,-71362.213357,-72878.108666,-83693.134331,-86845.713776
-96983.235715,-91352.361900,-75581.216881,-88220.346060,-71643.890040,-73480.488179,-83812.045611,-86881.253050
-96984.822689,-91290.648733,-75546.348160,-88201.212967,-71744.450539,-73622.980550,-83788.643335,-86857.940180
-97053.196675,-91343.935292,-75215.229418,-88152.016777,-71463.310297,-73019.550505,-83664.635857,-86823.496142
-97058.181114,-91420.557072,-75226.517049,-88169.831117,-71342.499118,-72818.831839,-83680.729113,-86835.051994
-96991.036474,-91370.623275,-75540.447300,-88218.110885,-71595.632624,-73374.160930,-83804.803646,-86871.775910
-96974.920866,-91293.822681,-75588.727068,-88210.645403,-71766.042324,-73668.488701,-83809.966899,-86861.672921
-97035.404686,-91323.997536,-75262.033971,-88154.050786,-71526.185754,-73132.449166,-83682.673714,-86822.065630
-97062.763222,-91411.549319,-75180.025420,-88158.968170,-71322.114327,-72777.950499,-83668.949743,-86835.744898
-97012.292983,-91394.249069,-75483.070372,-88219.541397,-71522.877696,-73253.975600,-83802.859044,-86886.840986
-96982.743976,-91316.912033,-75619.103088,-88232.974795,-71757.638068,-73681.318603,-83847.070795,-86886.349247
-97029.906157,-91325.919786,-75328.820983,-88172.938010,-71587.585996,-73255.204946,-83722.124543,-86836.504857
-97066.719480,-91410.387029,-75171.017667,-88156.174202,-71341.426234,-72783.203159,-83661.461909,-86827.742973
-97021.032515,-91407.436598,-75443.261915,-88206.778551,-71498.134315,-73152.990419,-83767.386826,-86866.523250
-96982.341645,-91313.536920,-75618.454888,-88220.368412,-71737.342684,-73648.506242,-83833.972673,-86882.705913
-97023.737076,-91308.440722,-75371.132835,-88171.820423,-71612.374081,-73342.756729,-83732.808677,-86846.674901
-97077.649483,-91401.245165,-75153.672713,-88152.575571,-71335.637133,-72792.613243,-83656.142194,-86832.950930
-97041.953748,-91420.221796,-75367.042466,-88200.698876,-71408.593227,-73019.774022,-83751.137108,-86869.585439
-96988.890706,-91339.420240,-75621.450021,-88234.941749,-71694.650852,-73603.869808,-83843.874495,-86888.673829
-97013.075294,-91311.726428,-75448.514575,-88192.518138,-71666.040619,-73461.623306,-83760.390730,-86848.887724
-97067.032405,-91389.756368,-75169.229528,-88155.593056,-71375.199720,-72857.746227,-83660.858412,-86827.184180
-97045.082992,-91433.230511,-75324.417689,-88195.446217,-71388.767229,-72943.733387,-83736.586122,-86860.041244
-96986.364959,-91356.675787,-75612.509324,-88230.471400,-71679.630480,-73553.198404,-83849.127155,-86890.350210
-96998.613715,-91302.584565,-75497.531950,-88190.350019,-71701.177561,-73548.638648,-83785.424684,-86862.365825
-97056.102402,-91365.929409,-75178.796074,-88142.226713,-71403.362918,-72922.946265,-83665.798147,-86830.894569
-97047.832256,-91427.776686,-75264.425607,-88174.145004,-71351.730389,-72860.473139,-83705.181921,-86845.981997
-96990.410625,-91368.522211,-75582.334469,-88227.610377,-71634.345846,-73463.880833,-83832.139830,-86886.081026
-96978.966532,-91298.516548,-75555.065340,-88204.677487,-71744.651704,-73627.137974,-83811.039783,-86868.534907
-97040.702050,-91346.237522,-75222.247865,-88146.093565,-71476.810751,-73035.286133,-83686.853491,-86831.587473
